Mutant haplotype,mean,CI2.5%,CI97.5%
1_mut1,-0.003405297380797302,-0.07917712887066972,0.07102098228377389
2_mut1,-0.005966303523593355,-0.08947746198281405,0.03187663475029859
3_mut1,-0.022821388453441956,-0.17199806738721865,0.010997776746797987
4_mut1,-0.008357814772585515,-0.09516545729555635,0.019355851657949102
5_mut1,-0.013407997961609443,-0.124527830798761,0.013650674269027264
6_mut1,-0.009776081827835266,-0.11076361016039657,0.020074874230710697
7_mut1,0.006279968723218691,-0.09066136236904342,0.1316310783430503
8_mut1,0.0025610755209655722,-0.03942857875803874,0.07571015469810487
9_mut1,-0.010726040659638461,-0.11522585927759321,0.04889647457432605
10_mut1,0.002426998343806001,-0.04028903645283693,0.07481047016789386
11_mut1,-0.002456327809816682,-0.06218651341450426,0.04263277175413153
12_mut1,-0.00729593197948392,-0.0935462758167694,0.02511408783411353
12_mut2,-0.004336217078527671,-0.07397951802417853,0.033848829390097354
13_mut1,-0.010748622801561055,-0.1233378203155477,0.02619609630620042
14_mut1,-0.001024385589762395,-0.07341138473746191,0.07505223086960454
15_mut1,-0.0022583450084470496,-0.05296964943064017,0.03380066676871071
16_mut1,-0.0028851870040893543,-0.09258500450216783,0.07388421311329978
17_mut1,-0.007180896035211466,-0.09001336438476756,0.023691691345707942
18_mut1,5.924741088054872e-05,-0.045137757558755515,0.051877842425450724
18_mut2,0.0005082016389772114,-0.04486333032993367,0.05652978259882195
19_mut1,-0.0032055428015677527,-0.05940810403478293,0.031089460125501206
20_mut1,-0.003617032684904178,-0.06464483907238366,0.03262794659820075
21_mut1,-0.002333675777985566,-0.05983442017507528,0.03978102380779485
21_mut2,-0.004635740044158963,-0.07339143542638402,0.030354939614278646
22_mut1,0.02826494466503566,-0.02319607722758516,0.22499081729565024
22_mut2,-0.03155369288315962,-0.21584836616086658,0.01547884763818468
23_mut1,0.002940187003160698,-0.046830175479039546,0.08966483474529706
24_mut1,0.005825704551912448,-0.043976205686717965,0.11697486217840304
25_mut1,-0.01716657248793081,-0.1710812572005187,0.02570186012452957
26_mut1,-0.0036094278857960473,-0.07865010261067641,0.04551088933219539
27_mut1,-0.005058462949984256,-0.08937615271890649,0.040723171935533306
27_mut2,-0.010876355012085118,-0.12490760435656655,0.026758616004207054
28_mut1,-0.001984395545446929,-0.05791053232006476,0.043045274788362085
29_mut1,0.0011380969376961602,-0.052855855480156866,0.075527449341818
30_mut1,-0.0011230570234776161,-0.04880421644291335,0.04291420084079462
31_mut1,0.010122029696529476,-0.020578659525060067,0.1179794173178662
32_mut1,0.0021797984435632115,-0.03985097108354951,0.07173981932833297
33_mut1,0.0031292282473242812,-0.039071967806917525,0.08344059018086564
34_mut1,-0.00812972717581373,-0.09694009774998286,0.02164182535328281
35_mut1,-0.003015030763148386,-0.061253739952942365,0.035130841570628756
36_mut1,0.006480355160542437,-0.04452926820584652,0.10079365553463783
37_mut1,-0.001118314024308045,-0.048419581178361856,0.042099033475055433
38_mut1,0.11798166991917829,-0.13368232251252526,0.646874572324221
38_mut2,-0.7579981693399206,-1.088884509646969,-0.1491434352794349
39_mut1,-0.008148013967602447,-0.11460931497220668,0.03365669359637144
40_mut1,-0.04409696782489867,-0.25915254653971437,0.010742793181665026
41_mut1,-0.0045944192747846896,-0.08219111718404809,0.03946593885258661
41_mut2,-0.08231495151019429,-0.319581679364754,0.024275791600272878
42_mut1,-0.003667770975928539,-0.07561536699119649,0.042574403364359525
43_mut1,-0.006000607485918637,-0.09456687150926062,0.036958441906069915
44_mut1,-0.008832961027326728,-0.10980547250520849,0.026318922326706715
45_mut1,-0.07890098330110543,-0.282633327087586,0.0039538130137072485
46_mut1,0.03100261306248991,-0.020532508709393587,0.22618106699074478
47_mut1,-0.04049403727648411,-0.2006591264062263,0.03314485754823113
47_mut2,0.000699386589350204,-0.05726724195631707,0.07485543735371782
48_mut1,-0.018749891098215975,-0.1389328154984719,0.029022859341160057
49_mut1,-0.0037120480825131707,-0.06332686111611831,0.03000183817933893
50_mut1,-0.003499547772661577,-0.06282245313420808,0.0317907542628782
51_mut1,0.005168630194618899,-0.03400721811040743,0.09715996505804773
52_mut1,0.0040456022262510515,-0.03395885017361773,0.08548339383888438
53_mut1,-0.003792243711192827,-0.08100402533766338,0.047263701702697156
54_mut1,0.002059108080633897,-0.03406644352028628,0.06220901143660367
55_mut1,-0.02437514680120933,-0.1779665902780426,0.010338654225864649
56_mut1,-0.006213928289230054,-0.09147113876673257,0.03192856231942529
56_mut2,0.00023064090912333656,-0.1004751304254144,0.13121836984502902
57_mut1,0.021529480019862737,-0.03269477887603341,0.173501029383265
58_mut1,-0.0019594655615271135,-0.06270860229580173,0.047073446242439816
59_mut1,0.004361704909980232,-0.03014822314434462,0.08357898194113969
60_mut1,-0.00908287436359009,-0.10173043149841487,0.01939499495128498
61_mut1,-0.0015305134589072096,-0.06121665610184677,0.05188344366174527
62_mut1,-0.006189750342253488,-0.08999587099270535,0.02979343661918523
63_mut1,-0.010962817644833162,-0.1308003700493484,0.033067018809187707
64_mut1,-0.087576969444548,-0.2564347324746186,0.018590095551762192
65_mut1,-0.004559548158400294,-0.08673526658214793,0.04366358851258513
66_mut1,-0.007608350470036672,-0.10662814793835998,0.03329015627593744
67_mut1,-0.0062169349896738346,-0.08938652624185954,0.03008082000406255
68_mut1,-0.013201692592853755,-0.1347385812899576,0.01949719681449419
69_mut1,-0.006303362723255121,-0.10395453789789498,0.04230673698788741
70_mut1,0.0011909391431983325,-0.047246449187928176,0.06799057334456153
71_mut1,-0.009345294157157511,-0.11461973895931063,0.06821823003904744
72_mut1,0.01801353871404503,-0.09483290555994975,0.1823142792232659
72_mut2,-0.03457338284171943,-0.1980307827098706,0.05253426861565944
73_mut1,-0.012195255875871638,-0.12533555381948575,0.019055887169463236
74_mut1,-0.0009448783314031063,-0.05519824309034764,0.05232492652294841
75_mut1,0.0021319333358880434,-0.03808627618640911,0.06881950882425468
76_mut1,0.001930604097541897,-0.03775609382617552,0.06497312705767996
77_mut1,-0.0037865757986911964,-0.06690412817296529,0.032818606250040856
78_mut1,-0.0027884920852686403,-0.06017305614187594,0.03565337699157025
79_mut1,-0.050961619213317544,-0.23000226802036539,0.004211924416043207
80_mut1,0.009285200814757468,-0.023966487178977237,0.11810055181942741
81_mut1,-0.0004037095685590291,-0.048853107324887984,0.052219817750416855
82_mut1,0.0010120366371374825,-0.04001444724093681,0.05775981038026986
83_mut1,-0.004941176114512867,-0.07728669849782,0.029749086623950125
84_mut1,-0.003527518965017432,-0.06852441535781081,0.036183239554238696
85_mut1,-0.008534659961053645,-0.09963835761504113,0.022388167936921756
86_mut1,-0.029526993368065937,-0.20776658825600886,0.011278997399010404
87_mut1,0.01257662034180299,-0.025123814131170586,0.15007376644090886
88_mut1,0.0031631614443650264,-0.04035784971050349,0.08458143974139319
89_mut1,-0.006496732899319387,-0.09343429296851624,0.05359871228853555
90_mut1,0.0028920595710821974,-0.04028337597089065,0.08042735863813973
91_mut1,-0.010082827812101866,-0.13166962533910154,0.08940353900316543
92_mut1,0.004774637582405258,-0.03708287146908722,0.09694465127512521
93_mut1,-0.00033909141216531617,-0.05389358336238857,0.058142057515661136
94_mut1,-0.003164208777551519,-0.09306659157495878,0.08058981460661388
95_mut1,-0.034080211460197685,-0.24578822089808894,0.01142007439640612
96_mut1,0.03729868447288879,-0.07965656546890966,0.2736118605100777
97_mut1,-0.013808011230101213,-0.16179369452168496,0.03363015428600939
98_mut1,0.01923551062043477,-0.052222137539511514,0.19173251029375135
99_mut1,0.007175220704521122,-0.04142371066650545,0.1288108745503828
100_mut1,-0.011053289182534762,-0.12679481744681523,0.025442774639269347
101_mut1,-0.00030434572147431885,-0.047071509446955206,0.05127065600526944
102_mut1,0.002715233508900206,-0.039338598970684584,0.07719771775954244
102_mut2,-0.011445647477921176,-0.11828963121718304,0.04539538334688071
103_mut1,0.036183777075179176,-0.02148134714146275,0.27348929317747517
