Mutant haplotype,mean,CI2.5%,CI97.5%
1_mut1,0.02032141066933766,-0.09349404126156692,0.16941548021699784
2_mut1,-0.0012049313251687303,-0.10195447129178209,0.09407913082160048
3_mut1,-0.01981934986750298,-0.1317895726861672,0.05666139696552114
4_mut1,-0.004250169303109657,-0.10726236940961048,0.09878761447716301
5_mut1,-0.021448173052939445,-0.15418374771087945,0.07246025375889127
6_mut1,-0.029325903113828038,-0.17575109393212063,0.055096171925653824
7_mut1,-0.007095026322575273,-0.19977660393349173,0.19014227388857008
8_mut1,0.024535470669926607,-0.06934472143745608,0.19662402207063281
9_mut1,-0.04029216768399161,-0.2499025913566252,0.10185241761933779
10_mut1,-0.013925679027362036,-0.16270931044250078,0.09914511000244576
11_mut1,-0.021171527781425933,-0.14551368295328768,0.062439028681416896
12_mut1,-0.04537605564305391,-0.2283499431923995,0.04764834302071703
12_mut2,0.0019488662175775394,-0.10434437803580109,0.1244339275540641
13_mut1,-0.040646021443618056,-0.25001076128924216,0.0646542881705204
14_mut1,0.04029199052183938,-0.09232279983722752,0.2417583162615831
15_mut1,-0.007703663013998956,-0.09641372538207325,0.0696933172518033
16_mut1,-0.00043520269684522685,-0.11014435636089642,0.11263899627883905
17_mut1,-0.03010152697576274,-0.2405237697831051,0.07963162620515062
18_mut1,0.004591621940864568,-0.09533810283967206,0.12984018208830092
18_mut2,0.0053915179879531535,-0.09070681513367784,0.14951042552799157
19_mut1,-0.02207545967294002,-0.20521729870468552,0.07070465049190665
20_mut1,-0.009267710431815696,-0.12189376949630795,0.0920502034021956
21_mut1,0.00549747000738903,-0.08962289456352476,0.12447999458285985
21_mut2,0.0026760323080753053,-0.09873630262305447,0.12002673593369281
22_mut1,-0.004437896821574233,-0.1238231367130445,0.10780511254173712
22_mut2,-0.010981667180639344,-0.1255310329853141,0.08550505373630818
23_mut1,-0.006802205849952408,-0.11962186223330702,0.08819726417880722
24_mut1,-0.00272765337890194,-0.11451838732447196,0.11402026073715468
25_mut1,-0.00041901241904578767,-0.09885236862956115,0.1111730331984412
26_mut1,0.0003027858624436333,-0.1190508113019754,0.13824844865480787
27_mut1,-0.00550630647209983,-0.1253610062288102,0.10674740954212307
27_mut2,-0.019291944300188747,-0.15775439601638866,0.0741852768665792
28_mut1,-0.00970449182688892,-0.18004991827751943,0.10039587632703803
29_mut1,0.013613514559612253,-0.10305618420752094,0.17951343097030348
30_mut1,0.011721998989579393,-0.07159960978994095,0.1348734320914529
31_mut1,-0.02163431772925773,-0.12722913375341408,0.0459182605472043
32_mut1,0.010940152177604644,-0.11076630742035,0.15196965779899255
33_mut1,-0.010032587631353323,-0.10727641041026162,0.07399760540457219
34_mut1,0.02726622114250047,-0.07881894925436815,0.2220252676623535
35_mut1,0.009806033882684953,-0.08687720229644268,0.15691176744721522
36_mut1,0.012145532074011471,-0.09763532286263724,0.16159882554516822
37_mut1,-0.03847720491252397,-0.195788556394276,0.04159935649989864
38_mut1,-0.06534380688345091,-0.3198977067660981,0.16865044721027658
