chr1	chr2	mean_ic_ld	sd_ic_ld	sem_ic_ld	type
I	II	0.00271110715025043	0.0240787746267265	0.00105592411907286	riail
I	III	0.00201329039971175	0.0189290949222261	0.000618716822968468	riail
I	IV	0.00441232299908307	0.0326776311685773	0.0014330089234179	riail
I	V	-0.00100045343308707	0.0248560738921505	0.000823970826147933	riail
I	X	-0.00430747951362484	0.0240792759681419	0.00083479869403061	riail
II	III	0.00090758157033655	0.0236277197905306	0.000880553126749058	riail
II	IV	0.00181034439595762	0.0274928922388078	0.00137464461194039	riail
II	V	0.00600771270398322	0.02406939203172	0.000909737507492154	riail
II	X	0.000492091519570377	0.0266650681270082	0.00105402936556132	riail
III	IV	-0.00305500241129868	0.0265850013775556	0.000990764504368999	riail
III	V	-0.000869215324286614	0.0254442156622319	0.000716809570838842	riail
III	X	-0.00692482678352949	0.0235969030482812	0.000695230423351716	riail
IV	V	0.00250207864303313	0.0286260711546524	0.00108196378982928	riail
IV	X	-0.000568530937920588	0.0274036445871211	0.00108322416356309	riail
V	X	-0.00227592174709575	0.0272472894377425	0.000814168496570118	riail
