block,sort_plate,well,dil_fact,rand_id,line_id,lawn_note,censor,growth type,well_note,time_washed,date_sort,sorter_source_well,L1_VP604,L1_MA,L1_plus_VP604,L1_plus_MA,source_file,,,,
1,1,A01,1,1,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,A1,6349,3020,767,59,20170704_Plate1_dilution_test_1.processed,,,,
1,1,A02,1,2,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,A2,9588,859,1099,13,20170704_Plate1_dilution_test_1.processed,,,,
1,1,A03,1,3,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,A3,3656,4402,523,120,20170704_Plate1_dilution_test_1.processed,,,,
1,1,A04,1,4,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,A4,3772,4929,584,101,20170704_Plate1_dilution_test_1.processed,,,,
1,1,A05,1,5,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,A5,5166,4536,645,103,20170704_Plate1_dilution_test_1.processed,,,,
1,1,A06,1,6,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,A6,2519,3890,312,164,20170704_Plate1_dilution_test_1.processed,,,,
1,1,A07,5,25,,Partial Lawn,,normal,,2:00 PM,4-Jul,A7,1077,842,206,70,20170704_Plate3_acquisition_1.processed,,,,
1,1,A08,5,,,,,normal,,2:00 PM,4-Jul,A8,3,8,2,1,20170704_Plate3_acquisition_1.processed,,,,
1,1,A09,5,27,,Partial Lawn,,normal,,2:00 PM,4-Jul,A9,1024,852,294,48,20170704_Plate3_acquisition_1.processed,,,,
1,1,A10,5,28,,Partial Lawn,,normal,,2:00 PM,4-Jul,A10,1212,359,226,16,20170704_Plate3_acquisition_1.processed,,,,
1,1,A11,5,29,,,,normal,,2:00 PM,4-Jul,A11,1191,688,55,6,20170704_Plate3_acquisition_1.processed,,,,
1,1,A12,5,30,,,,normal,,2:00 PM,4-Jul,A12,696,985,31,11,20170704_Plate3_acquisition_1.processed,,,,
1,1,B01,10,7,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,B1,5238,2913,1909,26,20170704_Plate1_dilution_test_1.processed,,,,
1,1,B02,10,8,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,B2,6107,2766,2343,5,20170704_Plate1_dilution_test_1.processed,,,,
1,1,B03,10,9,,Partial Lawn,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,B3,2029,633,327,1,20170704_Plate1_dilution_test_1.processed,,,,
1,1,B04,10,10,,,,normal,Manual Data Match With Sorter Data,2:00 PM,4-Jul,B4,3474,6621,679,385,20170704_Plate1_dilution_test_1.processed,,,,
