sample_name,library,filename,filename2,library_ID
RIL_413,EA-28,RIL_413_S1_L001_R1_001.fastq.gz,RIL_413_S1_L001_R2_001.fastq.gz,RIL_413:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_366,EA-28,RIL_366_S2_L001_R1_001.fastq.gz,RIL_366_S2_L001_R2_001.fastq.gz,RIL_366:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_28,EA-28,RIL_28_S3_L001_R1_001.fastq.gz,RIL_28_S3_L001_R2_001.fastq.gz,RIL_28:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_169,EA-28,RIL_169_S4_L001_R1_001.fastq.gz,RIL_169_S4_L001_R2_001.fastq.gz,RIL_169:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_15,EA-28,RIL_15_S5_L001_R1_001.fastq.gz,RIL_15_S5_L001_R2_001.fastq.gz,RIL_15:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_62,EA-28,RIL_62_S6_L001_R1_001.fastq.gz,RIL_62_S6_L001_R2_001.fastq.gz,RIL_62:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_232,EA-28,RIL_232_S8_L001_R1_001.fastq.gz,RIL_232_S8_L001_R2_001.fastq.gz,RIL_232:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_122,EA-28,RIL_122_S9_L001_R1_001.fastq.gz,RIL_122_S9_L001_R2_001.fastq.gz,RIL_122:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_387,EA-28,RIL_387_S10_L001_R1_001.fastq.gz,RIL_387_S10_L001_R2_001.fastq.gz,RIL_387:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_440,EA-28,RIL_440_S11_L001_R1_001.fastq.gz,RIL_440_S11_L001_R2_001.fastq.gz,RIL_440:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_150,EA-28,RIL_150_S12_L001_R1_001.fastq.gz,RIL_150_S12_L001_R2_001.fastq.gz,RIL_150:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_295,EA-28,RIL_295_S13_L001_R1_001.fastq.gz,RIL_295_S13_L001_R2_001.fastq.gz,RIL_295:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_353,EA-28,RIL_353_S14_L001_R1_001.fastq.gz,RIL_353_S14_L001_R2_001.fastq.gz,RIL_353:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_245,EA-28,RIL_245_S15_L001_R1_001.fastq.gz,RIL_245_S15_L001_R2_001.fastq.gz,RIL_245:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_164,EA-28,RIL_164_S16_L001_R1_001.fastq.gz,RIL_164_S16_L001_R2_001.fastq.gz,RIL_164:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_389,EA-28,RIL_389_S17_L001_R1_001.fastq.gz,RIL_389_S17_L001_R2_001.fastq.gz,RIL_389:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_354,EA-28,RIL_354_S18_L001_R1_001.fastq.gz,RIL_354_S18_L001_R2_001.fastq.gz,RIL_354:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_393,EA-28,RIL_393_S19_L001_R1_001.fastq.gz,RIL_393_S19_L001_R2_001.fastq.gz,RIL_393:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_147,EA-28,RIL_147_S20_L001_R1_001.fastq.gz,RIL_147_S20_L001_R2_001.fastq.gz,RIL_147:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_52,EA-28,RIL_52_S21_L001_R1_001.fastq.gz,RIL_52_S21_L001_R2_001.fastq.gz,RIL_52:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_45,EA-28,RIL_45_S22_L001_R1_001.fastq.gz,RIL_45_S22_L001_R2_001.fastq.gz,RIL_45:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_65,EA-28,RIL_65_S23_L001_R1_001.fastq.gz,RIL_65_S23_L001_R2_001.fastq.gz,RIL_65:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_349,EA-28,RIL_349_S24_L001_R1_001.fastq.gz,RIL_349_S24_L001_R2_001.fastq.gz,RIL_349:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_253,EA-28,RIL_253_S25_L001_R1_001.fastq.gz,RIL_253_S25_L001_R2_001.fastq.gz,RIL_253:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_11,EA-28,RIL_11_S26_L001_R1_001.fastq.gz,RIL_11_S26_L001_R2_001.fastq.gz,RIL_11:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_157,EA-28,RIL_157_S27_L001_R1_001.fastq.gz,RIL_157_S27_L001_R2_001.fastq.gz,RIL_157:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_226,EA-28,RIL_226_S28_L001_R1_001.fastq.gz,RIL_226_S28_L001_R2_001.fastq.gz,RIL_226:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_293,EA-28,RIL_293_S29_L001_R1_001.fastq.gz,RIL_293_S29_L001_R2_001.fastq.gz,RIL_293:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_345,EA-28,RIL_345_S30_L001_R1_001.fastq.gz,RIL_345_S30_L001_R2_001.fastq.gz,RIL_345:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_186,EA-28,RIL_186_S31_L001_R1_001.fastq.gz,RIL_186_S31_L001_R2_001.fastq.gz,RIL_186:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_213,EA-28,RIL_213_S32_L001_R1_001.fastq.gz,RIL_213_S32_L001_R2_001.fastq.gz,RIL_213:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_97,EA-28,RIL_97_S33_L001_R1_001.fastq.gz,RIL_97_S33_L001_R2_001.fastq.gz,RIL_97:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_286,EA-28,RIL_286_S34_L001_R1_001.fastq.gz,RIL_286_S34_L001_R2_001.fastq.gz,RIL_286:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_133,EA-28,RIL_133_S35_L001_R1_001.fastq.gz,RIL_133_S35_L001_R2_001.fastq.gz,RIL_133:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_258,EA-28,RIL_258_S36_L001_R1_001.fastq.gz,RIL_258_S36_L001_R2_001.fastq.gz,RIL_258:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_33,EA-28,RIL_33_S37_L001_R1_001.fastq.gz,RIL_33_S37_L001_R2_001.fastq.gz,RIL_33:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_35,EA-28,RIL_35_S38_L001_R1_001.fastq.gz,RIL_35_S38_L001_R2_001.fastq.gz,RIL_35:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_361,EA-28,RIL_361_S39_L001_R1_001.fastq.gz,RIL_361_S39_L001_R2_001.fastq.gz,RIL_361:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_171,EA-28,RIL_171_S40_L001_R1_001.fastq.gz,RIL_171_S40_L001_R2_001.fastq.gz,RIL_171:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_214,EA-28,RIL_214_S41_L001_R1_001.fastq.gz,RIL_214_S41_L001_R2_001.fastq.gz,RIL_214:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_330,EA-28,RIL_330_S42_L001_R1_001.fastq.gz,RIL_330_S42_L001_R2_001.fastq.gz,RIL_330:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_375,EA-28,RIL_375_S43_L001_R1_001.fastq.gz,RIL_375_S43_L001_R2_001.fastq.gz,RIL_375:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_266,EA-28,RIL_266_S44_L001_R1_001.fastq.gz,RIL_266_S44_L001_R2_001.fastq.gz,RIL_266:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_275,EA-28,RIL_275_S45_L001_R1_001.fastq.gz,RIL_275_S45_L001_R2_001.fastq.gz,RIL_275:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_292,EA-28,RIL_292_S46_L001_R1_001.fastq.gz,RIL_292_S46_L001_R2_001.fastq.gz,RIL_292:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_118,EA-28,RIL_118_S47_L001_R1_001.fastq.gz,RIL_118_S47_L001_R2_001.fastq.gz,RIL_118:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_64,EA-28,RIL_64_S48_L001_R1_001.fastq.gz,RIL_64_S48_L001_R2_001.fastq.gz,RIL_64:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_439,EA-28,RIL_439_S49_L001_R1_001.fastq.gz,RIL_439_S49_L001_R2_001.fastq.gz,RIL_439:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_410,EA-28,RIL_410_S50_L001_R1_001.fastq.gz,RIL_410_S50_L001_R2_001.fastq.gz,RIL_410:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_438,EA-28,RIL_438_S52_L001_R1_001.fastq.gz,RIL_438_S52_L001_R2_001.fastq.gz,RIL_438:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_188,EA-28,RIL_188_S53_L001_R1_001.fastq.gz,RIL_188_S53_L001_R2_001.fastq.gz,RIL_188:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_282,EA-28,RIL_282_S54_L001_R1_001.fastq.gz,RIL_282_S54_L001_R2_001.fastq.gz,RIL_282:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_168,EA-28,RIL_168_S55_L001_R1_001.fastq.gz,RIL_168_S55_L001_R2_001.fastq.gz,RIL_168:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_57,EA-28,RIL_57_S56_L001_R1_001.fastq.gz,RIL_57_S56_L001_R2_001.fastq.gz,RIL_57:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_363,EA-28,RIL_363_S57_L001_R1_001.fastq.gz,RIL_363_S57_L001_R2_001.fastq.gz,RIL_363:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_66,EA-28,RIL_66_S58_L001_R1_001.fastq.gz,RIL_66_S58_L001_R2_001.fastq.gz,RIL_66:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_267,EA-28,RIL_267_S59_L001_R1_001.fastq.gz,RIL_267_S59_L001_R2_001.fastq.gz,RIL_267:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_121,EA-28,RIL_121_S60_L001_R1_001.fastq.gz,RIL_121_S60_L001_R2_001.fastq.gz,RIL_121:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_195,EA-28,RIL_195_S61_L001_R1_001.fastq.gz,RIL_195_S61_L001_R2_001.fastq.gz,RIL_195:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_83,EA-28,RIL_83_S62_L001_R1_001.fastq.gz,RIL_83_S62_L001_R2_001.fastq.gz,RIL_83:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_431,EA-28,RIL_431_S63_L001_R1_001.fastq.gz,RIL_431_S63_L001_R2_001.fastq.gz,RIL_431:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_261,EA-28,RIL_261_S64_L001_R1_001.fastq.gz,RIL_261_S64_L001_R2_001.fastq.gz,RIL_261:EA-28:paired:WGS:IlluminaHiSeq4000
RIL_162,EA-28,RIL_162_S65_L001_R1_001.fastq.gz,RIL_162_S65_L001_R2_001.fastq.gz,RIL_162:EA-28:paired:WGS:IlluminaHiSeq4000
